"CaseReferenceNumber"	"MotionID"	"CaseLocation"	"CaseMajorCode"	"CaseMinorCode"	"CaseTrialListType"	"CaseMarkingCode"	"CaseDispositionJudgeJurisNo"	"CaseDispositionDocketLegendCode"	"MotionResultCode"	"MotionFilingParty"	"MotionDocketLegendCode"	"MotionJurisNumber"	"MotionDocumentPriorityCode"	"CaseAttorneyJuris"	"CaseAttorneyType"	"MotionTimeDuration"	"MotionDocumentTypeName"	"SelfRepBeforeMotionFileCount"	"SelfRepBeforeMotionDecidedCount"	"SelfRepBeforeMotionFileBool"	"SelfRepBeforeMotionDecidedBool"
207	1751	"FBT"	"V"	1	9	16	416586	"JDGDACT"	"GR"	"D"	"MSTRIKE"	418027	30	418027	"J"	78	"MOTION TO STRIKE"	1	1	TRUE	TRUE
1472	10915	"FBT"	"V"	1	9	16	NA	"WDACT"	"DN"	"P"	"MSTRIKE"	416586	30	416586	"R"	22	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1494	11050	"NNI"	"V"	1	9	16	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	422392	30	422392	"J"	285	"MOTION TO STRIKE"	0	0	FALSE	FALSE
371	2708	"LLI"	"T"	90	-1	NA	418028	"SJD"	"OR"	"D"	"MSTRIKE"	418028	30	418028	"R"	120	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1422	10373	"HHD"	"T"	2	-1	NA	422394	"SJ"	"GR"	"D"	"MSTRIKE"	81181	30	81181	"R"	153	"MOTION TO STRIKE"	0	0	FALSE	FALSE
473	3334	"FST"	"V"	1	9	15	419135	"JDGACTD"	"OF"	"D"	"MSTRIKE"	416586	30	416586	"R"	17	"MOTION TO STRIKE"	0	0	FALSE	FALSE
4469	40967	"MMX"	"T"	29	9	14	402017	"JDGSTP"	"DN"	"D"	"MSTRIKE"	403965	30	403965	"J"	79	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1684	12536	"HHD"	"V"	1	9	16	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	406511	30	406511	"R"	167	"MOTION TO STRIKE"	0	0	FALSE	FALSE
2925	23861	"HHD"	"V"	9	9	1	NA	"WDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	186	"MOTION TO STRIKE"	0	0	FALSE	FALSE
2925	23872	"HHD"	"V"	9	9	1	NA	"WDACT"	"OD"	"D"	"MSTRIKE"	NA	30	NA	""	104	"MOTION TO STRIKE"	0	0	FALSE	FALSE
2048	15036	"FST"	"V"	1	1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	420175	30	420175	"R"	60	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3037	25265	"NNH"	"V"	1	-1	NA	411103	"WDACT"	"GR"	"D"	"MSTRIKE"	80627	30	80627	"R"	32	"MOTION TO STRIKE"	0	0	FALSE	FALSE
1906	14005	"FBT"	"T"	12	9	16	412184	"JDGDACT"	"OR"	"P"	"MSTRIKE"	414997	30	414997	"R"	152	"MOTION TO STRIKE"	0	0	FALSE	FALSE
2967	24300	"KNO"	"V"	1	-1	NA	411102	"WDACT"	"OR"	"D"	"MSTRIKE"	415595	30	415595	"R"	118	"MOTION TO STRIKE"	0	0	FALSE	FALSE
4605	42786	"FBT"	"T"	90	9	16	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	413629	30	413629	"J"	206	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3414	29352	"FBT"	"V"	1	9	16	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	419018	30	419018	"R"	91	"MOTION TO STRIKE"	0	0	FALSE	FALSE
2426	18651	"HHB"	"V"	1	9	16	411103	"WDACT"	"GR"	"D"	"MSTRIKE"	422679	30	422679	"J"	40	"MOTION TO STRIKE"	0	0	FALSE	FALSE
2421	18605	"HHB"	"V"	1	9	16	80343	"JDGDACT"	"GR"	"D"	"MSTRIKE"	80096	30	80096	"R"	131	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3340	28562	"HHB"	"V"	1	-1	NA	411103	"WDACT"	"OR"	"D"	"MSTRIKE"	415596	30	415596	"R"	77	"MOTION TO STRIKE"	0	0	FALSE	FALSE
5428	51172	"NNH"	"V"	1	9	17	415132	"JDGTVT"	"GR"	"P"	"MSTRIKE"	408552	30	408552	"R"	153	"MOTION TO STRIKE"	0	0	FALSE	FALSE
5440	51337	"FST"	"T"	90	9	15	416590	"JODD"	"DN"	"D"	"MSTRIKE"	402358	30	402358	"R"	441	"MOTION TO STRIKE"	0	0	FALSE	FALSE
5433	51249	"NNI"	"T"	90	3	16	422678	"JDGACTP"	"OD"	"D"	"MSTRIKE"	408307	30	408307	"J"	NA	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3647	32197	"FST"	"V"	1	1	NA	402358	"JODD"	"OF"	"D"	"MSTRIKE"	409667	30	409667	"K"	2499	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3647	32227	"FST"	"V"	1	1	NA	402358	"JODD"	"DN"	"D"	"MSTRIKE"	420175	30	420175	"R"	136	"MOTION TO STRIKE"	0	0	FALSE	FALSE
